path	change_type	confidence	bora_added_share	bora_commits_count	en_path_exists
.github/pull_request_template.md	new_translation	확정	0.9091	5	no
1-js/01-getting-started/1-intro/article.md	mixed	개연	0.4583	7	yes
1-js/01-getting-started/2-manuals-specifications/article.md	mixed	개연	0.5135	7	yes
1-js/01-getting-started/3-code-editors/article.md	mixed	개연	0.3913	6	yes
1-js/01-getting-started/4-devtools/article.md	mixed	개연	0.4127	5	yes
1-js/01-getting-started/index.md	mixed	개연	0.6667	3	yes
1-js/02-first-steps/01-hello-world/1-hello-alert/task.md	mixed	개연	0.25	1	yes
1-js/02-first-steps/01-hello-world/2-hello-alert-ext/task.md	mixed	개연	0.3333	1	yes
1-js/02-first-steps/01-hello-world/article.md	review_edit	개연	0.1667	4	yes
1-js/02-first-steps/02-structure/article.md	mixed	개연	0.2642	5	yes
1-js/02-first-steps/03-strict-mode/article.md	mixed	개연	0.382	9	yes
1-js/02-first-steps/04-variables/1-hello-variables/solution.md	review_edit	개연	0.1667	1	yes
1-js/02-first-steps/04-variables/1-hello-variables/task.md	mixed	개연	0.5	1	yes
1-js/02-first-steps/04-variables/2-declare-variables/solution.md	mixed	개연	0.3478	1	yes
1-js/02-first-steps/04-variables/2-declare-variables/task.md	mixed	개연	0.375	1	yes
1-js/02-first-steps/04-variables/3-uppercast-constant/solution.md	mixed	개연	0.4	1	yes
1-js/02-first-steps/04-variables/3-uppercast-constant/task.md	mixed	개연	0.25	1	yes
1-js/02-first-steps/04-variables/article.md	mixed	개연	0.2449	7	yes
1-js/02-first-steps/05-types/1-string-quotes/solution.md	mixed	개연	0.2667	1	yes
1-js/02-first-steps/05-types/1-string-quotes/task.md	review_edit	개연	0.1176	1	yes
1-js/02-first-steps/05-types/article.md	mixed	개연	0.3553	8	yes
1-js/02-first-steps/06-alert-prompt-confirm/1-simple-page/solution.md	review_edit	개연	0.1667	1	yes
1-js/02-first-steps/06-alert-prompt-confirm/1-simple-page/task.md	mixed	개연	0.2222	1	yes
1-js/02-first-steps/06-alert-prompt-confirm/article.md	mixed	개연	0.2952	3	yes
1-js/02-first-steps/07-type-conversions/article.md	mixed	개연	0.3467	4	yes
1-js/02-first-steps/08-operators/1-increment-order/solution.md	review_edit	개연	0.1667	1	yes
1-js/02-first-steps/08-operators/1-increment-order/task.md	review_edit	개연	0.1429	1	yes
1-js/02-first-steps/08-operators/2-assignment-result/solution.md	mixed	개연	0.4	1	yes
1-js/02-first-steps/08-operators/2-assignment-result/task.md	review_edit	개연	0.1538	1	yes
1-js/02-first-steps/08-operators/3-primitive-conversions-questions/solution.md	mixed	개연	0.2692	1	yes
1-js/02-first-steps/08-operators/3-primitive-conversions-questions/task.md	review_edit	개연	0.1111	1	yes
1-js/02-first-steps/08-operators/article.md	mixed	개연	0.317	5	yes
1-js/02-first-steps/09-comparison/1-comparison-questions/solution.md	mixed	개연	0.4762	2	yes
1-js/02-first-steps/09-comparison/1-comparison-questions/task.md	mixed	개연	0.2222	2	yes
1-js/02-first-steps/09-comparison/article.md	mixed	개연	0.3271	6	yes
1-js/02-first-steps/10-ifelse/1-if-zero-string/solution.md	mixed	개연	0.25	1	yes
1-js/02-first-steps/10-ifelse/1-if-zero-string/task.md	review_edit	개연	0.1429	1	yes
1-js/02-first-steps/10-ifelse/2-check-standard/task.md	mixed	개연	0.2308	2	yes
1-js/02-first-steps/10-ifelse/3-sign/solution.md	review_edit	개연	0.0714	1	yes
1-js/02-first-steps/10-ifelse/3-sign/task.md	mixed	개연	0.4	1	yes
1-js/02-first-steps/10-ifelse/5-rewrite-if-question/solution.md	review_edit	개연	0.1667	1	yes
1-js/02-first-steps/10-ifelse/5-rewrite-if-question/task.md	review_edit	개연	0.1765	1	yes
1-js/02-first-steps/10-ifelse/6-rewrite-if-else-question/solution.md	mixed	개연	0.3333	1	yes
1-js/02-first-steps/10-ifelse/6-rewrite-if-else-question/task.md	mixed	개연	0.3043	1	yes
1-js/02-first-steps/10-ifelse/article.md	mixed	개연	0.2678	4	yes
1-js/02-first-steps/11-logical-operators/1-alert-null-2-undefined/solution.md	review_edit	개연	0.0	1	yes
1-js/02-first-steps/11-logical-operators/1-alert-null-2-undefined/task.md	review_edit	개연	0.1667	1	yes
1-js/02-first-steps/11-logical-operators/2-alert-or/solution.md	mixed	개연	0.3077	1	yes
1-js/02-first-steps/11-logical-operators/2-alert-or/task.md	review_edit	개연	0.1667	1	yes
1-js/02-first-steps/11-logical-operators/3-alert-1-null-2/solution.md	review_edit	개연	0.0	1	yes
1-js/02-first-steps/11-logical-operators/3-alert-1-null-2/task.md	review_edit	개연	0.1667	1	yes
1-js/02-first-steps/11-logical-operators/4-alert-and/solution.md	mixed	개연	0.2222	1	yes
1-js/02-first-steps/11-logical-operators/4-alert-and/task.md	review_edit	개연	0.1667	1	yes
1-js/02-first-steps/11-logical-operators/5-alert-and-or/solution.md	mixed	개연	0.2353	1	yes
1-js/02-first-steps/11-logical-operators/5-alert-and-or/task.md	review_edit	개연	0.1667	1	yes
1-js/02-first-steps/11-logical-operators/6-check-if-in-range/task.md	mixed	개연	0.3333	1	yes
1-js/02-first-steps/11-logical-operators/7-check-if-out-range/solution.md	review_edit	개연	0.1667	1	yes
1-js/02-first-steps/11-logical-operators/7-check-if-out-range/task.md	mixed	개연	0.3333	1	yes
1-js/02-first-steps/11-logical-operators/8-if-question/solution.md	mixed	개연	0.35	1	yes
1-js/02-first-steps/11-logical-operators/8-if-question/task.md	review_edit	개연	0.1875	1	yes
1-js/02-first-steps/11-logical-operators/9-check-login/solution.md	mixed	개연	0.32	1	yes
1-js/02-first-steps/11-logical-operators/9-check-login/task.md	mixed	개연	0.4	2	yes
1-js/02-first-steps/11-logical-operators/article.md	mixed	개연	0.2699	6	yes
1-js/02-first-steps/12-nullish-coalescing-operator/article.md	mixed	개연	0.3538	3	yes
1-js/02-first-steps/13-while-for/1-loop-last-value/solution.md	mixed	개연	0.28	1	yes
1-js/02-first-steps/13-while-for/1-loop-last-value/task.md	review_edit	개연	0.1333	1	yes
1-js/02-first-steps/13-while-for/2-which-value-while/solution.md	mixed	개연	0.3333	1	yes
1-js/02-first-steps/13-while-for/2-which-value-while/task.md	review_edit	개연	0.1818	1	yes
1-js/02-first-steps/13-while-for/3-which-value-for/solution.md	mixed	개연	0.4118	1	yes
1-js/02-first-steps/13-while-for/3-which-value-for/task.md	review_edit	개연	0.15	1	yes
1-js/02-first-steps/13-while-for/4-for-even/solution.md	review_edit	개연	0.0909	1	yes
1-js/02-first-steps/13-while-for/4-for-even/task.md	mixed	개연	0.2222	1	yes
1-js/02-first-steps/13-while-for/5-replace-for-while/task.md	review_edit	개연	0.0714	1	yes
1-js/02-first-steps/13-while-for/6-repeat-until-correct/solution.md	review_edit	개연	0.0667	1	yes
1-js/02-first-steps/13-while-for/6-repeat-until-correct/task.md	mixed	개연	0.3077	1	yes
1-js/02-first-steps/13-while-for/7-list-primes/solution.md	mixed	개연	0.3448	2	yes
1-js/02-first-steps/13-while-for/7-list-primes/task.md	mixed	개연	0.2941	1	yes
1-js/02-first-steps/13-while-for/article.md	mixed	개연	0.3083	4	yes
1-js/02-first-steps/14-switch/1-rewrite-switch-if-else/solution.md	mixed	개연	0.35	1	yes
1-js/02-first-steps/14-switch/1-rewrite-switch-if-else/task.md	review_edit	개연	0.1923	1	yes
1-js/02-first-steps/14-switch/2-rewrite-if-switch/solution.md	review_edit	개연	0.1154	1	yes
1-js/02-first-steps/14-switch/2-rewrite-if-switch/task.md	review_edit	개연	0.087	1	yes
1-js/02-first-steps/14-switch/article.md	mixed	개연	0.2965	2	yes
1-js/02-first-steps/15-function-basics/1-if-else-required/solution.md	new_translation	확정	1.0	1	yes
1-js/02-first-steps/15-function-basics/1-if-else-required/task.md	review_edit	개연	0.1842	1	yes
1-js/02-first-steps/15-function-basics/2-rewrite-function-question-or/solution.md	mixed	개연	0.2941	1	yes
1-js/02-first-steps/15-function-basics/2-rewrite-function-question-or/task.md	mixed	개연	0.3077	1	yes
1-js/02-first-steps/15-function-basics/3-min/solution.md	review_edit	개연	0.1429	1	yes
1-js/02-first-steps/15-function-basics/3-min/task.md	review_edit	개연	0.1875	1	yes
1-js/02-first-steps/15-function-basics/4-pow/solution.md	review_edit	개연	0.0476	1	yes
1-js/02-first-steps/15-function-basics/4-pow/task.md	mixed	개연	0.2105	1	yes
1-js/02-first-steps/15-function-basics/article.md	mixed	개연	0.2325	8	yes
1-js/02-first-steps/16-function-expressions/article.md	mixed	개연	0.3016	4	yes
1-js/02-first-steps/17-arrow-functions-basics/1-rewrite-arrow/solution.md	mixed	개연	0.2353	1	yes
1-js/02-first-steps/17-arrow-functions-basics/1-rewrite-arrow/task.md	mixed	개연	0.2941	1	yes
1-js/02-first-steps/17-arrow-functions-basics/article.md	mixed	개연	0.3243	2	yes
1-js/02-first-steps/18-javascript-specials/article.md	mixed	개연	0.3028	5	yes
1-js/02-first-steps/index.md	mixed	개연	0.6667	2	yes
1-js/03-code-quality/01-debugging-chrome/article.md	mixed	개연	0.4592	10	yes
1-js/03-code-quality/02-coding-style/1-style-errors/solution.md	mixed	개연	0.2917	2	yes
1-js/03-code-quality/02-coding-style/1-style-errors/task.md	review_edit	개연	0.1071	1	yes
1-js/03-code-quality/02-coding-style/article.md	mixed	개연	0.2557	3	yes
1-js/03-code-quality/03-comments/article.md	mixed	개연	0.2722	5	yes
1-js/03-code-quality/04-ninja-code/article.md	mixed	개연	0.4818	2	yes
1-js/03-code-quality/05-testing-mocha/3-pow-test-wrong/solution.md	mixed	개연	0.32	1	yes
1-js/03-code-quality/05-testing-mocha/3-pow-test-wrong/task.md	review_edit	개연	0.1667	1	yes
1-js/03-code-quality/05-testing-mocha/article.md	mixed	개연	0.3301	4	yes
1-js/03-code-quality/06-polyfills/article.md	mixed	개연	0.4444	4	yes
1-js/03-code-quality/index.md	mixed	개연	0.6667	2	yes
1-js/04-object-basics/01-object/2-hello-object/task.md	mixed	개연	0.4286	1	yes
1-js/04-object-basics/01-object/3-is-empty/solution.md	new_translation	확정	1.0	1	yes
1-js/04-object-basics/01-object/3-is-empty/task.md	review_edit	개연	0.15	1	yes
1-js/04-object-basics/01-object/4-const-object/solution.md	review_edit	개연	0.0	1	no
1-js/04-object-basics/01-object/4-const-object/task.md	review_edit	개연	0.0	1	no
1-js/04-object-basics/01-object/5-sum-object/task.md	mixed	개연	0.2105	1	yes
1-js/04-object-basics/01-object/8-multiply-numeric/task.md	mixed	개연	0.2121	1	yes
1-js/04-object-basics/01-object/article.md	mixed	개연	0.2966	11	yes
1-js/04-object-basics/02-object-copy/article.md	mixed	개연	0.2851	2	yes
1-js/04-object-basics/03-garbage-collection/article.md	mixed	개연	0.3113	5	yes
1-js/04-object-basics/04-object-methods/4-object-property-this/solution.md	mixed	개연	0.2	2	yes
1-js/04-object-basics/04-object-methods/7-calculator/solution.md	review_edit	개연	0.0952	1	yes
1-js/04-object-basics/04-object-methods/7-calculator/task.md	review_edit	개연	0.0833	1	yes
1-js/04-object-basics/04-object-methods/8-chain-calls/solution.md	review_edit	개연	0.0256	1	yes
1-js/04-object-basics/04-object-methods/8-chain-calls/task.md	review_edit	개연	0.1026	1	yes
1-js/04-object-basics/04-object-methods/article.md	mixed	개연	0.2948	14	yes
1-js/04-object-basics/06-constructor-new/1-two-functions-one-object/solution.md	mixed	개연	0.2143	1	yes
1-js/04-object-basics/06-constructor-new/1-two-functions-one-object/task.md	review_edit	개연	0.1579	1	yes
1-js/04-object-basics/06-constructor-new/2-calculator-constructor/task.md	mixed	개연	0.2609	1	yes
1-js/04-object-basics/06-constructor-new/3-accumulator/solution.md	review_edit	개연	0.0588	1	yes
1-js/04-object-basics/06-constructor-new/3-accumulator/task.md	mixed	개연	0.4074	1	yes
1-js/04-object-basics/06-constructor-new/article.md	mixed	개연	0.313	8	yes
1-js/04-object-basics/07-optional-chaining/article.md	mixed	개연	0.3523	5	yes
1-js/04-object-basics/08-symbol/article.md	mixed	개연	0.278	6	yes
1-js/04-object-basics/09-object-toprimitive/article.md	mixed	개연	0.3504	4	yes
1-js/04-object-basics/index.md	new_translation	확정	1.0	2	yes
1-js/05-data-types/01-primitives-methods/1-string-new-property/solution.md	mixed	개연	0.375	1	yes
1-js/05-data-types/01-primitives-methods/1-string-new-property/task.md	review_edit	개연	0.1667	1	yes
1-js/05-data-types/01-primitives-methods/article.md	mixed	개연	0.3828	3	yes
1-js/05-data-types/02-number/4-endless-loop-error/solution.md	mixed	개연	0.2941	1	yes
1-js/05-data-types/02-number/4-endless-loop-error/task.md	review_edit	개연	0.1333	1	yes
1-js/05-data-types/02-number/8-random-min-max/task.md	review_edit	개연	0.0588	1	yes
1-js/05-data-types/02-number/article.md	mixed	개연	0.308	4	yes
1-js/05-data-types/03-string/1-ucfirst/solution.md	mixed	개연	0.2593	2	yes
1-js/05-data-types/03-string/1-ucfirst/task.md	review_edit	개연	0.1667	2	yes
1-js/05-data-types/03-string/2-check-spam/solution.md	review_edit	개연	0.0714	1	yes
1-js/05-data-types/03-string/2-check-spam/task.md	review_edit	개연	0.1875	2	yes
1-js/05-data-types/03-string/3-truncate/solution.md	mixed	개연	0.2	1	yes
1-js/05-data-types/03-string/3-truncate/task.md	mixed	개연	0.2353	1	yes
1-js/05-data-types/03-string/4-extract-currency/task.md	mixed	개연	0.25	1	yes
1-js/05-data-types/03-string/article.md	mixed	개연	0.3417	6	yes
1-js/05-data-types/04-array/1-item-value/solution.md	mixed	개연	0.25	1	yes
1-js/05-data-types/04-array/1-item-value/task.md	mixed	개연	0.3158	1	yes
1-js/05-data-types/04-array/10-maximal-subarray/solution.md	mixed	개연	0.2234	1	yes
1-js/05-data-types/04-array/10-maximal-subarray/task.md	mixed	개연	0.2667	1	yes
1-js/05-data-types/04-array/2-create-array/task.md	mixed	개연	0.3333	1	yes
1-js/05-data-types/04-array/3-call-array-this/solution.md	mixed	개연	0.2667	2	yes
1-js/05-data-types/04-array/3-call-array-this/task.md	review_edit	개연	0.1111	1	yes
1-js/05-data-types/04-array/5-array-input-sum/solution.md	review_edit	개연	0.1071	1	yes
1-js/05-data-types/04-array/5-array-input-sum/task.md	mixed	개연	0.4	1	yes
1-js/05-data-types/04-array/article.md	mixed	개연	0.378	3	yes
1-js/05-data-types/05-array-methods/1-camelcase/task.md	mixed	개연	0.2632	1	yes
1-js/05-data-types/05-array-methods/10-average-age/task.md	review_edit	개연	0.1905	1	yes
1-js/05-data-types/05-array-methods/11-array-unique/solution.md	mixed	개연	0.2821	1	yes
1-js/05-data-types/05-array-methods/11-array-unique/task.md	review_edit	개연	0.1739	1	yes
1-js/05-data-types/05-array-methods/2-filter-range/solution.md	mixed	개연	0.2143	1	yes
1-js/05-data-types/05-array-methods/2-filter-range/task.md	mixed	개연	0.2273	1	yes
1-js/05-data-types/05-array-methods/3-filter-range-in-place/solution.md	review_edit	개연	0.0952	1	yes
1-js/05-data-types/05-array-methods/3-filter-range-in-place/task.md	mixed	개연	0.2778	1	yes
1-js/05-data-types/05-array-methods/4-sort-back/task.md	review_edit	개연	0.1429	1	yes
1-js/05-data-types/05-array-methods/5-copy-sort-array/solution.md	review_edit	개연	0.0588	1	yes
1-js/05-data-types/05-array-methods/5-copy-sort-array/task.md	review_edit	개연	0.1667	1	yes
1-js/05-data-types/05-array-methods/6-array-get-names/task.md	review_edit	개연	0.1818	1	yes
1-js/05-data-types/05-array-methods/6-calculator-extendable/solution.md	mixed	개연	0.6667	1	yes
1-js/05-data-types/05-array-methods/6-calculator-extendable/task.md	mixed	개연	0.2973	1	yes
1-js/05-data-types/05-array-methods/7-map-objects/solution.md	review_edit	개연	0.098	1	yes
1-js/05-data-types/05-array-methods/7-map-objects/task.md	review_edit	개연	0.1667	1	yes
1-js/05-data-types/05-array-methods/8-sort-objects/task.md	review_edit	개연	0.125	1	yes
1-js/05-data-types/05-array-methods/9-shuffle/solution.md	review_edit	개연	0.186	1	yes
1-js/05-data-types/05-array-methods/9-shuffle/task.md	review_edit	개연	0.16	1	yes
1-js/05-data-types/05-array-methods/article.md	mixed	개연	0.3152	9	yes
1-js/05-data-types/06-iterable/article.md	mixed	개연	0.2778	4	yes
1-js/05-data-types/07-map-set/01-array-unique-map/solution.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/07-map-set/01-array-unique-map/task.md	mixed	개연	0.2963	2	yes
1-js/05-data-types/07-map-set/02-filter-anagrams/solution.md	review_edit	개연	0.026	2	yes
1-js/05-data-types/07-map-set/02-filter-anagrams/task.md	mixed	개연	0.25	2	yes
1-js/05-data-types/07-map-set/03-iterable-keys/solution.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/07-map-set/03-iterable-keys/task.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/07-map-set/article.md	mixed	개연	0.2961	3	yes
1-js/05-data-types/08-weakmap-weakset/01-recipients-read/solution.md	review_edit	개연	0.0233	2	yes
1-js/05-data-types/08-weakmap-weakset/01-recipients-read/task.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/08-weakmap-weakset/02-recipients-when-read/solution.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/08-weakmap-weakset/02-recipients-when-read/task.md	review_edit	개연	0.0476	1	yes
1-js/05-data-types/08-weakmap-weakset/article.md	mixed	개연	0.3197	4	yes
1-js/05-data-types/09-keys-values-entries/01-sum-salaries/solution.md	review_edit	개연	0.1379	2	yes
1-js/05-data-types/09-keys-values-entries/01-sum-salaries/task.md	review_edit	개연	0.125	2	yes
1-js/05-data-types/09-keys-values-entries/02-count-properties/solution.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/09-keys-values-entries/02-count-properties/task.md	review_edit	개연	0.1429	3	yes
1-js/05-data-types/09-keys-values-entries/article.md	mixed	개연	0.3137	5	yes
1-js/05-data-types/10-destructuring-assignment/1-destruct-user/solution.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/10-destructuring-assignment/1-destruct-user/task.md	mixed	개연	0.2424	2	yes
1-js/05-data-types/10-destructuring-assignment/6-max-salary/solution.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/10-destructuring-assignment/6-max-salary/task.md	mixed	개연	0.2273	2	yes
1-js/05-data-types/10-destructuring-assignment/article.md	mixed	개연	0.2337	9	yes
1-js/05-data-types/11-date/1-new-date/solution.md	mixed	개연	0.2222	1	yes
1-js/05-data-types/11-date/1-new-date/task.md	review_edit	개연	0.0	2	yes
1-js/05-data-types/11-date/2-get-week-day/solution.md	mixed	개연	0.2143	2	yes
1-js/05-data-types/11-date/2-get-week-day/task.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/11-date/3-weekday/solution.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/11-date/3-weekday/task.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/11-date/4-get-date-ago/solution.md	mixed	개연	0.2593	2	yes
1-js/05-data-types/11-date/4-get-date-ago/task.md	mixed	개연	0.4286	2	yes
1-js/05-data-types/11-date/5-last-day-of-month/solution.md	review_edit	개연	0.1538	2	yes
1-js/05-data-types/11-date/5-last-day-of-month/task.md	mixed	개연	0.4286	2	yes
1-js/05-data-types/11-date/6-get-seconds-today/solution.md	mixed	개연	0.2143	2	yes
1-js/05-data-types/11-date/6-get-seconds-today/task.md	mixed	개연	0.2667	2	yes
1-js/05-data-types/11-date/7-get-seconds-to-tomorrow/solution.md	mixed	개연	0.2188	2	yes
1-js/05-data-types/11-date/7-get-seconds-to-tomorrow/task.md	mixed	개연	0.2667	2	yes
1-js/05-data-types/11-date/8-format-date-relative/solution.md	mixed	개연	0.2179	2	yes
1-js/05-data-types/11-date/8-format-date-relative/task.md	mixed	개연	0.44	2	yes
1-js/05-data-types/11-date/article.md	mixed	개연	0.3025	3	yes
1-js/05-data-types/12-json/1-serialize-object/solution.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/12-json/1-serialize-object/task.md	review_edit	개연	0.1429	2	yes
1-js/05-data-types/12-json/2-serialize-event-circular/solution.md	review_edit	개연	0.0345	2	yes
